customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-355471,Female,0,Yes,Yes,2.0,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (auto),112.82,211.81,Yes
CUST-582030,Male,1,Yes,No,72.0,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,102.74,7400.62,No
CUST-775297,Female,1,No,Yes,1.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,107.18,113.18,Yes
CUST-761169,Female,0,Yes,Yes,10.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (auto),,1084.58,Yes
CUST-597025,Male,0,No,No,26.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,54.65,1415.09,No
CUST-962765,Female,0,No,No,29.0,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Credit card (auto),72.47,2105.33,No
CUST-440836,Female,0,No,Yes,29.0,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,104.3,3034.54,No
CUST-973635,Female,1,No,No,45.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,118.75,5347.59,No
CUST-213900,Male,0,Yes,No,24.0,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (auto),86.53,2070.29,No
CUST-981964,Male,0,Yes,Yes,16.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,47.62,770.05,No
CUST-615422,Male,0,No,No,51.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (auto),118.75,6069.82,No
CUST-175064,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (auto),116.23,117.67,Yes
CUST-308842,Female,0,No,No,16.0,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (auto),94.46,1515.04,No
CUST-558358,Female,1,No,No,36.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,118.75,4264.47,No
CUST-779969,Male,0,Yes,Yes,40.0,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,No,Credit card (auto),63.36,2529.73,No
CUST-936722,Male,0,Yes,No,2.0,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (auto),91.97,193.49,No
CUST-524515,Female,0,No,No,33.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,118.75,3918.98,No
CUST-334865,Male,0,No,No,3.0,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (auto),118.75,347.46,No
CUST-967130,Female,0,No,No,29.0,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (auto),101.15,2947.35,No
CUST-996005,Female,0,Yes,No,3.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,118.75,366.76,Yes
CUST-236650,Female,0,No,No,36.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (auto),36.24,1301.8,No
CUST-151371,Male,0,Yes,No,3.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (auto),118.75,382.15,Yes
CUST-237205,Female,0,Yes,No,72.0,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,79.54,5722.06,Yes
CUST-504244,Female,0,No,Yes,46.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,53.12,2427.57,No
CUST-885044,Female,1,No,No,29.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (auto),118.75,3442.25,No
CUST-851441,Male,0,Yes,No,41.0,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,87.77,3583.24,No
CUST-972165,Male,0,No,No,5.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,118.75,598.86,Yes
CUST-198175,Male,0,Yes,Yes,19.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (auto),98.22,1880.38,Yes
CUST-391232,Male,0,Yes,No,9.0,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,83.63,744.85,Yes
CUST-182204,Female,0,Yes,No,20.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (auto),41.7,829.85,No
CUST-996492,Female,0,No,No,9.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (auto),48.31,429.73,Yes
CUST-685346,Female,0,Yes,Yes,16.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,118.75,1896.43,Yes
CUST-910841,Male,0,No,No,22.0,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,62.06,1364.07,No
CUST-519985,Male,0,Yes,Yes,4.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,75.12,293.78,No
CUST-869079,Male,1,Yes,Yes,9.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Credit card (auto),113.24,1025.41,No
CUST-495488,Male,0,Yes,Yes,35.0,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,83.2,2901.33,No
CUST-149892,Male,1,Yes,Yes,4.0,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (auto),81.27,327.73,No
CUST-508118,Male,0,No,No,30.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,102.82,3092.94,No
CUST-103837,Male,1,No,No,2.0,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,118.75,227.69,No
CUST-586933,Female,0,No,Yes,72.0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (auto),108.95,7828.52,No
CUST-836047,Male,0,Yes,No,29.0,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (auto),102.06,2947.2,Yes
CUST-302334,Female,0,No,No,61.0,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (auto),81.09,4942.41,No
CUST-733697,Female,0,No,No,11.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (auto),118.75,1293.69,Yes
CUST-148239,Male,0,Yes,Yes,23.0,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,109.72,2538.63,No
CUST-619830,Female,0,No,No,20.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (auto),70.18,1403.35,No
CUST-498429,Female,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,41.22,34.22,No
CUST-808830,Male,0,No,No,26.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (auto),53.42,1381.19,No
CUST-107062,Male,0,No,No,9.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.41,335.97,No
CUST-272036,Female,0,No,No,37.0,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (auto),77.98,2896.15,Yes
CUST-113794,Male,0,Yes,Yes,35.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,41.66,1453.65,No
CUST-812046,Male,0,No,No,70.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Mailed check,102.37,7168.05,No
CUST-114228,Male,0,No,No,9.0,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (auto),66.53,603.79,No
